category, description 
Khác,Khám sức khỏe tâm thần
Khác,Khám sức khỏe định kỳ quân đội
Khác,Khám sức khỏe doanh nghiệp
Khác,Khám sức khỏe online
Khác,Khám sức khỏe cơ bản
Khác,Khám sức khỏe nâng cao
Khác,Khám sức khỏe bổ sung vitamin
Khác,Khám sức khỏe theo gói
Khác,Khám sức khỏe tổng hợp
Khác,Đóng tiền điện nước chung cư
Khác,Đóng tiền internet
Khác,Đóng tiền truyền hình cáp
Khác,Đóng tiền điện thoại cố định
Khác,Đóng tiền điện thoại di động
Khác,Đóng tiền nước nóng
Khác,Đóng tiền vệ sinh môi trường
Khác,Đóng tiền rác thải
Khác,Đóng phí quản lý chung cư
Khác,Đóng phí bảo trì nhà
Khác,Đóng phí gửi xe chung cư
Khác,Đóng tiền thuế nhà đất
Khác,Đóng tiền thuế thu nhập
Khác,Đóng phí hành chính
Khác,Đóng phí công chứng
Khác,Đóng phí giấy phép xây dựng
Khác,Đóng lệ phí tòa án
Khác,Đóng phí luật sư
Khác,Đóng tiền bảo hiểm nhà
Khác,Đóng tiền bảo hiểm xe
Khác,Đóng tiền bảo hiểm sức khỏe
Khác,Đóng tiền bảo hiểm nhân thọ
Khác,Đóng tiền bảo hiểm tai nạn
Khác,Đóng tiền bảo hiểm du lịch
Khác,Đóng tiền phạt vi phạm giao thông
Khác,Đóng tiền phạt hành chính
Khác,Đóng tiền phạt nộp chậm hóa đơn
Khác,Đóng tiền phạt trễ hạn vay
Khác,Đóng tiền phạt ngân hàng
Khác,Đóng tiền phạt thẻ tín dụng
Khác,Đóng tiền phạt thuê nhà
Khác,Đóng tiền phạt hợp đồng
Khác,Đóng tiền phạt hợp đồng lao động
Khác,Đóng tiền phạt hợp đồng dịch vụ
Khác,Đóng tiền phạt hợp đồng mua bán
Khác,Đóng tiền phạt hợp đồng bảo hiểm
Khác,Đóng tiền phạt hợp đồng thuê xe
Khác,Đóng tiền phạt hợp đồng du lịch
Khác,Đóng tiền phạt hợp đồng tổ chức sự kiện
Khác,Đóng tiền phạt hợp đồng giáo dục
Khác,Đóng tiền phạt hợp đồng y tế
Khác,Đóng tiền phạt hợp đồng điện nước
Khác,Đóng tiền phạt hợp đồng internet
Khác,Đóng tiền phạt hợp đồng truyền hình
Khác,Đóng tiền phạt hợp đồng thuê nhà
Khác,Đóng tiền phạt hợp đồng lao động tạm thời
Khác,Đóng tiền phạt hợp đồng bảo trì
Khác,Đóng tiền phạt hợp đồng sửa chữa
Khác,Đóng tiền phạt hợp đồng vệ sinh
Khác,Đóng tiền phạt hợp đồng vận chuyển
Khác,Đóng tiền phạt hợp đồng logistics
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc
Khác,Đóng tiền phạt hợp đồng tư vấn
Khác,Đóng tiền phạt hợp đồng hỗ trợ kỹ thuật
Khác,Đóng tiền phạt hợp đồng bảo dưỡng
Khác,Đóng tiền phạt hợp đồng sửa chữa điện
Khác,Đóng tiền phạt hợp đồng sửa chữa nước
Khác,Đóng tiền phạt hợp đồng sửa chữa máy lạnh
Khác,Đóng tiền phạt hợp đồng sửa chữa thiết bị điện tử
Khác,Đóng tiền phạt hợp đồng sửa chữa thiết bị nhà bếp
Khác,Đóng tiền phạt hợp đồng bảo trì máy móc
Khác,Đóng tiền phạt hợp đồng bảo trì thiết bị điện
Khác,Đóng tiền phạt hợp đồng bảo trì hệ thống nước
Khác,Đóng tiền phạt hợp đồng bảo trì hệ thống điện
Khác,Đóng tiền phạt hợp đồng bảo trì điều hòa
Khác,Đóng tiền phạt hợp đồng dịch vụ vệ sinh nhà
Khác,Đóng tiền phạt hợp đồng dịch vụ vệ sinh văn phòng
Khác,Đóng tiền phạt hợp đồng vận chuyển hàng hóa
Khác,Đóng tiền phạt hợp đồng vận chuyển đồ đạc
Khác,Đóng tiền phạt hợp đồng vận chuyển thiết bị
Khác,Đóng tiền phạt hợp đồng dịch vụ sửa chữa xe máy
Khác,Đóng tiền phạt hợp đồng dịch vụ sửa chữa ô tô
Khác,Đóng tiền phạt hợp đồng dịch vụ bảo dưỡng xe
Khác,Đóng tiền phạt hợp đồng dịch vụ rửa xe
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc cây cảnh
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc thú cưng
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc sân vườn
Khác,Đóng tiền phạt hợp đồng dịch vụ lắp đặt thiết bị
Khác,Đóng tiền phạt hợp đồng dịch vụ lắp đặt nội thất
Khác,Đóng tiền phạt hợp đồng dịch vụ lắp đặt điện nước
Khác,Đóng tiền phạt hợp đồng dịch vụ sửa nhà
Khác,Đóng tiền phạt hợp đồng dịch vụ xây dựng nhỏ
Khác,Đóng tiền phạt hợp đồng dịch vụ xây dựng cải tạo
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn pháp lý
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn thuế
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn tài chính
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn kỹ thuật
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn xây dựng
Khác,Đóng tiền phạt hợp đồng dịch vụ tư vấn giáo dục
Khác,Đóng tiền phạt hợp đồng dịch vụ y tế
Khác,Đóng tiền phạt hợp đồng dịch vụ khám sức khỏe
Khác,Đóng tiền phạt hợp đồng dịch vụ tiêm phòng
Khác,Đóng tiền phạt hợp đồng dịch vụ xét nghiệm
Khác,Đóng tiền phạt hợp đồng dịch vụ nha khoa
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc mắt
Khác,Đóng tiền phạt hợp đồng dịch vụ vật lý trị liệu
Khác,Đóng tiền phạt hợp đồng dịch vụ massage
Khác,Đóng tiền phạt hợp đồng dịch vụ spa
Khác,Đóng tiền phạt hợp đồng dịch vụ làm đẹp
Khác,Đóng tiền phạt hợp đồng dịch vụ cắt tóc
Khác,Đóng tiền phạt hợp đồng dịch vụ uốn tóc
Khác,Đóng tiền phạt hợp đồng dịch vụ duỗi tóc
Khác,Đóng tiền phạt hợp đồng dịch vụ gội đầu
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc da
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc cơ thể
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc tóc
Khác,Đóng tiền phạt hợp đồng dịch vụ chăm sóc móng
Khác,Đóng tiền phạt hợp đồng dịch vụ làm móng tay
Khác,Đóng tiền phạt hợp đồng dịch vụ làm móng chân
Khác,Đóng tiền phạt hợp đồng dịch vụ sơn móng
Khác,Đóng tiền phạt hợp đồng dịch vụ làm nail
Khác,Đóng tiền phạt hợp đồng dịch vụ nối tóc
Khác,Đóng tiền phạt hợp đồng dịch vụ nối mi
Khác,Đóng tiền phạt hợp đồng dịch vụ phun xăm thẩm mỹ
Khác,Tiền thuê nhà
Khác,Điện nước hàng tháng
Khác,Bảo hiểm y tế
Khác,Phí internet wifi
Khác,Xăng xe máy
Khác,Sửa chữa điện thoại
Khác,Cắt tóc gội đầu
Khác,Khám bác sĩ
Khác,Mua thuốc cảm
Khác,Gửi tiền về nhà
Khác,Phí ngân hàng
Khác,Rửa xe máy
Khác,Photocopy giấy tờ
Khác,Phí đăng kiểm xe
Khác,Mua bảo hiểm xe
Khác,Sửa máy tính
Khác,Thay màn hình điện thoại
Khác,Phí trường học
Khác,Tiền tip nhân viên
Khác,Cho vay bạn bè
Khác,Trả nợ ngân hàng
Khác,Lãi suất thẻ tín dụng
Khác,Phí chuyển khoản
Khác,Mua vé số
Khác,Đặt cọc thuê nhà
Khác,Phí môi giới
Khác,Tiền phạt vi phạm
Khác,Phí đỗ xe
Khác,Mua thẻ cào điện thoại
Khác,Nạp tiền game
Khác,Đăng ký gói cước
Khác,Phí chứng minh thư
Khác,Phí hộ chiếu
Khác,Phí visa du lịch
Khác,Bảo hiểm du lịch
Khác,Vé máy bay
Khác,Phí hành lý
Khác,Thuế thu nhập
Khác,Thuế nhà đất
Khác,Phí công chứng
Khác,Lệ phí tòa án
Khác,Phí luật sư
Khác,Khám sức khỏe định kỳ
Khác,Chụp X-quang
Khác,Tiêm phòng vaccine
Khác,Đóng tiền học trực tuyến
Khác,Đóng tiền bảo trì thiết bị
Khác,Phí sửa chữa máy lạnh
Khác,Phí bảo dưỡng điều hòa
Khác,Đóng tiền vệ sinh môi trường
Khác,Phí xử lý rác thải
Khác,Đóng tiền cấp nước nóng
Khác,Đóng tiền xử lý nước thải
Khác,Đóng tiền điện công cộng
Khác,Phí bảo trì cầu thang
Khác,Phí bảo trì thang máy
Khác,Phí bảo dưỡng hệ thống gas
Khác,Phí bảo dưỡng hệ thống điện
Khác,Phí bảo dưỡng hệ thống nước
Khác,Chi phí khám sức khỏe tâm lý
Khác,Chi phí tư vấn dinh dưỡng
Khác,Chi phí vật lý trị liệu
Khác,Chi phí y tế gia đình
Khác,Chi phí chăm sóc người già
Khác,Chi phí chăm sóc trẻ em
Khác,Phí gửi trẻ bán trú
Khác,Chi phí trông trẻ tại nhà
Khác,Chi phí học thêm ngoại ngữ
Khác,Chi phí học kỹ năng mềm
Khác,Chi phí thi bằng lái xe
Khác,Phí đăng ký khóa học
Khác,Phí thi cấp chứng chỉ
Khác,Chi phí học nghề
Khác,Phí bảo hiểm tai nạn lao động
Khác,Phí bảo hiểm nghề nghiệp
Khác,Chi phí đào tạo nhân viên
Khác,Chi phí hội thảo chuyên môn
Khác,Chi phí seminar trực tuyến
Khác,Chi phí tham quan học tập
Khác,Chi phí hướng nghiệp
Khác,Chi phí thực tập sinh
Khác,Chi phí đi nghiên cứu
Khác,Chi phí đăng ký hội nhóm chuyên môn
Khác,Chi phí duy trì tài khoản học tập
Khác,Chi phí phần mềm giáo dục
Khác,Chi phí bảo trì máy tính lớp học
Khác,Chi phí bảo trì phòng thí nghiệm
Khác,Chi phí vật tư phòng thí nghiệm
Khác,Chi phí mua dụng cụ thí nghiệm
Khác,Chi phí đào tạo kỹ thuật
Khác,Chi phí tham gia hiệp hội chuyên ngành
Khác,Chi phí hội nghị quốc tế
Khác,Chi phí thi đấu học sinh
Khác,Chi phí thi đấu sinh viên
Khác,Chi phí thi đấu thể thao
Khác,Chi phí thuê huấn luyện viên
Khác,Chi phí thuê sân tập luyện
Khác,Chi phí bảo dưỡng dụng cụ thể thao
Khác,Chi phí bảo dưỡng thiết bị phòng gym
Khác,Chi phí khám sức khỏe thể thao
Khác,Chi phí cấp thẻ hội viên thể thao
Khác,Chi phí tham gia lớp yoga
Khác,Chi phí tham gia lớp khiêu vũ
Khác,Chi phí tham gia lớp nghệ thuật
Khác,Chi phí tham gia lớp âm nhạc
Khác,Chi phí học đàn piano
Khác,Chi phí học violin
Khác,Chi phí học guitar
Khác,Chi phí học trống
Khác,Chi phí học thanh nhạc
Khác,Chi phí học vẽ tranh
Khác,Chi phí học thiết kế
Khác,Chi phí học lập trình
Khác,Chi phí thi lập trình
Khác,Chi phí khóa học online
Khác,Chi phí thi chứng chỉ quốc tế
Khác,Chi phí tham gia khóa học chuyên sâu
Khác,Chi phí khóa học ngoại ngữ nâng cao
Khác,Chi phí thi IELTS
Khác,Chi phí thi TOEFL
Khác,Chi phí thi TOEIC
Khác,Chi phí thi Cambridge
Khác,Chi phí dịch thuật tài liệu
Khác,Chi phí công chứng tài liệu
Khác,Chi phí xin giấy phép kinh doanh
Khác,Chi phí đăng ký sáng chế
Khác,Chi phí bảo hộ bản quyền
Khác,Chi phí tư vấn pháp lý
Khác,Chi phí thuê luật sư
Khác,Chi phí kiện tụng
Khác,Chi phí tham gia hòa giải
Khác,Chi phí giấy tờ hành chính
Khác,Chi phí cấp sổ đỏ
Khác,Chi phí cấp giấy chứng nhận quyền sử dụng đất
Khác,Chi phí thủ tục cấp phép xây dựng
Khác,Chi phí nộp hồ sơ
Khác,Chi phí thẩm định hồ sơ
Khác,Chi phí cấp visa
Khác,Chi phí gia hạn visa
Khác,Chi phí xin giấy phép lao động
Khác,Chi phí đăng ký tạm trú
Khác,Chi phí đăng ký tạm vắng
Khác,Chi phí nộp thuế doanh nghiệp
Khác,Chi phí nộp thuế cá nhân
Khác,Chi phí nộp thuế tài sản
Khác,Chi phí khai thuế
Khác,Chi phí kế toán
Khác,Chi phí kiểm toán
Khác,Chi phí lập báo cáo tài chính
Khác,Chi phí đăng ký doanh nghiệp
Khác,Chi phí duy trì doanh nghiệp
Khác,Chi phí thuê văn phòng
Khác,Chi phí bảo trì văn phòng
Khác,Chi phí tiện ích văn phòng
Khác,Chi phí điện nước văn phòng
Khác,Chi phí internet văn phòng
Khác,Chi phí thuê kho
Khác,Chi phí vận chuyển hàng hóa
Khác,Chi phí logistics
Khác,Chi phí bảo quản hàng hóa
Khác,Chi phí đóng gói hàng hóa
Khác,Chi phí giao hàng
Khác,Chi phí vận chuyển nội địa
Khác,Chi phí vận chuyển quốc tế
Khác,Chi phí xuất nhập khẩu
Khác,Chi phí thủ tục hải quan
Khác,Chi phí kiểm tra chất lượng
Khác,Chi phí thử nghiệm sản phẩm
Khác,Chi phí chứng nhận sản phẩm
Khác,Chi phí kiểm định sản phẩm
Khác,Chi phí giám sát sản xuất
Khác,Chi phí bảo trì máy móc sản xuất
Khác,Chi phí bảo dưỡng dây chuyền sản xuất
Khác,Chi phí mua vật tư sản xuất
Khác,Chi phí điện nước sản xuất
Khác,Chi phí nhân công sản xuất
Khác,Chi phí đào tạo nhân công
Khác,Chi phí bảo hiểm lao động
Khác,Chi phí an toàn lao động
Khác,Chi phí kiểm soát chất lượng
Khác,Chi phí vận hành nhà máy
Khác,Chi phí thu gom phế liệu
Khác,Chi phí xử lý chất thải sản xuất
Khác,Chi phí bảo trì kho bãi
Khác,Chi phí giám sát kho
Khác,Chi phí quản lý kho
Khác,Chi phí bảo trì xe vận tải
Khác,Chi phí nhiên liệu xe vận tải
Khác,Chi phí bảo hiểm xe vận tải
Khác,Chi phí quản lý vận tải
Khác,Chi phí an toàn vận tải
Khác,Chi phí tiền lương nhân viên
Khác,Chi phí thưởng nhân viên
Khác,Chi phí phúc lợi nhân viên
Khác,Chi phí đào tạo nhân viên
Khác,Chi phí khám sức khỏe định kỳ nhân viên
Khác,Chi phí kiểm tra sức khỏe lao động
Khác,Chi phí bảo hiểm nhân viên
Khác,Chi phí nghỉ phép nhân viên
Khác,Chi phí bảo hiểm thất nghiệp
Khác,Chi phí dịch vụ nhân sự
Khác,Chi phí dịch vụ tư vấn nhân sự
Khác,Chi phí quản lý nhân sự
Khác,Chi phí tuyển dụng nhân viên
Khác,Chi phí đào tạo lãnh đạo
Khác,Chi phí tổ chức hội nghị
Khác,Chi phí hội thảo nội bộ
Khác,Chi phí teambuilding
Khác,Chi phí phúc lợi nội bộ
Khác,Chi phí chăm sóc sức khỏe nhân viên
Khác,Chi phí hỗ trợ gia đình nhân viên
Khác,Chi phí thưởng lễ tết nhân viên
Khác,Chi phí phúc lợi xã hội
Khác,Chi phí đóng góp cộng đồng
Khác,Chi phí tài trợ từ thiện
Khác,Chi phí bảo vệ môi trường
Khác,Chi phí tiết kiệm năng lượng
Khác,Chi phí xử lý nước thải
Khác,Chi phí xử lý rác thải công nghiệp
Khác,Chi phí phòng cháy chữa cháy
Khác,Chi phí an toàn lao động
Khác,Chi phí kiểm soát chất lượng
Khác,Chi phí kiểm tra an toàn thực phẩm
Khác,Chi phí kiểm định thiết bị
Khác,Chi phí duy trì thiết bị
Khác,Chi phí bảo dưỡng thiết bị
Khác,Chi phí sửa chữa thiết bị
Khác,Chi phí thay thế thiết bị
Khác,Chi phí nâng cấp thiết bị
Khác,Chi phí đào tạo sử dụng thiết bị
Khác,Chi phí vận hành thiết bị
Khác,Chi phí kiểm tra vận hành
Khác,Chi phí giám sát vận hành
Khác,Chi phí quản lý vận hành
Khác,Chi phí bảo vệ vận hành
Khác,Chi phí hậu cần vận hành
Khác,Chi phí quản lý rủi ro
Khác,Chi phí kiểm tra định kỳ
Khác,Chi phí đánh giá định kỳ
Khác,Chi phí báo cáo định kỳ
Khác,Chi phí kiểm toán định kỳ
Khác,Chi phí thẩm định định kỳ
Khác,Chi phí bảo trì định kỳ
Khác,Chi phí bảo dưỡng định kỳ
Khác,Chi phí vận hành định kỳ
Khác,Chi phí kiểm soát định kỳ
Khác,Chi phí đánh giá nhân viên định kỳ
Khác,Chi phí đánh giá thiết bị định kỳ
Khác,Chi phí kiểm định an toàn định kỳ
Khác,Chi phí duy trì chất lượng định kỳ
Khác,Chi phí bảo dưỡng cơ sở vật chất định kỳ
Khác,Chi phí kiểm tra cơ sở vật chất định kỳ
Khác,Chi phí kiểm tra hệ thống định kỳ
Khác,Chi phí lập kế hoạch định kỳ
Khác,Chi phí quản lý định kỳ
Khác,Chi phí giám sát định kỳ
Khác,Chi phí vận hành nhà máy định kỳ
Khác,Chi phí bảo dưỡng nhà máy định kỳ
Khác,Chi phí kiểm tra nhà máy định kỳ
Khác,Chi phí quản lý nhà máy định kỳ
Khác,Chi phí bảo trì kho bãi định kỳ
Khác,Chi phí giám sát kho bãi định kỳ
Khác,Chi phí quản lý kho bãi định kỳ
Khác,Chi phí bảo dưỡng xe vận tải định kỳ
Khác,Chi phí kiểm tra xe vận tải định kỳ
Khác,Chi phí giám sát xe vận tải định kỳ
Khác,Chi phí nhiên liệu xe vận tải định kỳ
Khác,Chi phí bảo hiểm xe vận tải định kỳ
Khác,Chi phí bảo trì xe vận tải định kỳ
Khác,Chi phí đào tạo lái xe định kỳ
Khác,Chi phí kiểm tra lái xe định kỳ
Khác,Chi phí giám sát lái xe định kỳ
Khác,Chi phí quản lý lái xe định kỳ
Khác,Chi phí bảo dưỡng dụng cụ thể thao định kỳ
Khác,Chi phí giám sát dụng cụ thể thao định kỳ
Khác,Chi phí quản lý dụng cụ thể thao định kỳ
Khác,Chi phí vận hành dụng cụ thể thao định kỳ
Khác,Chi phí bảo trì thiết bị phòng gym định kỳ
Khác,Chi phí kiểm tra thiết bị phòng gym định kỳ
Khác,Chi phí giám sát thiết bị phòng gym định kỳ
Khác,Chi phí quản lý thiết bị phòng gym định kỳ
